rollout/ep_rew_mean,time/time_elapsed,time/fps,time/iterations,time/total_timesteps,rollout/ep_len_mean,train/policy_gradient_loss,train/approx_kl,train/n_updates,train/explained_variance,train/value_loss,train/loss,train/learning_rate,train/entropy_loss,train/clip_fraction,train/clip_range
-152.917,790,274,106,217088,400.0,-0.016369883791776375,0.012621579,1050,0.989488422870636,1.8775950789451599,0.52186119556427,0.0003,-1.1197738766670227,0.1765625,0.2
-152.713,797,274,107,219136,400.0,-0.03746023011044599,0.030655863,1060,0.9524074196815491,4.586322738975286,0.9199880361557007,0.0003,-1.0191938020288944,0.235595703125,0.2
-152.70700000000002,806,274,108,221184,400.0,-0.009797613607952371,0.0140000265,1070,0.9891647696495056,3.1108115166425705,1.110915184020996,0.0003,-1.051229614019394,0.163232421875,0.2
-152.413,814,273,109,223232,400.0,-0.023702787747606636,0.024269674,1080,0.9890368580818176,2.477961112558842,1.0319294929504395,0.0003,-1.0730098247528077,0.220458984375,0.2
-152.866,823,273,110,225280,400.0,-0.022218486841302364,0.017826878,1090,0.991173505783081,1.6692868202924729,0.5202142000198364,0.0003,-1.085383689403534,0.26728515625,0.2
-154.183,830,273,111,227328,400.0,-0.002396160183707252,0.02992742,1100,0.975049614906311,2.450987572222948,0.4076269865036011,0.0003,-1.0360729470849037,0.28017578125,0.2
-153.66400000000002,837,273,112,229376,400.0,0.0026126722630579026,0.024979975,1110,0.9370520114898682,6.39834518507123,0.8015204071998596,0.0003,-0.9136550195515156,0.245654296875,0.2
-153.337,845,273,113,231424,400.0,-0.015206815145211295,0.012605379,1120,0.9895845651626587,2.085900682210922,0.5535566806793213,0.0003,-1.0543257638812065,0.1708984375,0.2
-152.52700000000002,854,273,114,233472,400.0,-0.01600743691669777,0.017200558,1130,0.9909219741821289,1.8770603507757186,0.4280480444431305,0.0003,-1.0734349846839906,0.181982421875,0.2
-153.061,863,272,115,235520,400.0,-0.026258014334598557,0.022544868,1140,0.9819846153259277,4.3592689499259,0.9463869333267212,0.0003,-1.0461359225213527,0.237939453125,0.2
-153.22899999999998,871,272,116,237568,400.0,-0.00456124565389473,0.03521863,1150,0.9866552352905273,2.4138255208730697,0.6527915000915527,0.0003,-1.0342974483966827,0.242333984375,0.2
-152.99499999999998,878,272,117,239616,400.0,-0.014114186124061234,0.014898413,1160,0.9887756705284119,2.8058279782533644,0.6371989846229553,0.0003,-1.059539569914341,0.172607421875,0.2
-152.761,886,272,118,241664,400.0,-0.022820551029872148,0.026545156,1170,0.9906867146492004,2.4719417721033095,1.1217492818832397,0.0003,-1.013191895186901,0.189990234375,0.2
-153.41199999999998,896,271,119,243712,400.0,-0.015579546429216861,0.028180256,1180,0.9805294871330261,2.9367542952299117,0.7529675364494324,0.0003,-0.9903116822242737,0.191357421875,0.2
-154.513,904,271,120,245760,400.0,-0.012830394197953865,0.025559962,1190,0.9597482681274414,5.5069002360105515,1.341892123222351,0.0003,-0.9886028327047824,0.229931640625,0.2
-154.58800000000002,912,271,121,247808,400.0,-0.00037923872587271036,0.022173727,1200,0.9615089893341064,4.020792835950852,0.8685603141784668,0.0003,-0.9777968108654023,0.239501953125,0.2
-154.48600000000002,919,271,122,249856,400.0,-0.011109810660127551,0.017966937,1210,0.9828715324401855,3.198401865363121,1.1748422384262085,0.0003,-0.9848878212273121,0.223486328125,0.2
-154.71099999999998,927,271,123,251904,400.0,-0.010722467649611645,0.019460596,1220,0.9901180863380432,1.777231104671955,0.5621709227561951,0.0003,-0.9690064795315265,0.26025390625,0.2
-155.662,935,271,124,253952,400.0,-0.01545702773728408,0.033499707,1230,0.9819956421852112,1.785527876764536,0.43542587757110596,0.0003,-0.9299679130315781,0.220068359375,0.2
-154.207,944,271,125,256000,400.0,-0.010736096877371893,0.040717646,1240,0.9677331447601318,4.446900092065334,0.8636330366134644,0.0003,-0.9759680055081844,0.236962890625,0.2
-154.264,951,271,126,258048,400.0,-0.006103248242288828,0.019181736,1250,0.9912946224212646,2.34826630204916,0.5621902942657471,0.0003,-0.9978768713772297,0.26005859375,0.2
-156.415,958,271,127,260096,400.0,-0.012816414271946996,0.06092336,1260,0.9951897263526917,1.045104033127427,0.33165252208709717,0.0003,-0.947623074799776,0.243115234375,0.2
-158.869,965,271,128,262144,400.0,-0.0030977379181422295,0.019364089,1270,0.9402256011962891,4.234557659178972,0.6031987071037292,0.0003,-0.8055381692945958,0.156591796875,0.2
-160.09,972,271,129,264192,400.0,-0.0008125795924570411,0.054171704,1280,0.9439277052879333,5.353527583181858,0.8296946883201599,0.0003,-0.781167509406805,0.19580078125,0.2
-158.722,981,271,130,266240,400.0,2.128422202076763e-05,0.057433605,1290,0.9458231329917908,6.360226945579052,1.0237594842910767,0.0003,-0.8943166129291058,0.462451171875,0.2
-159.289,988,271,131,268288,400.0,-0.019639966578688474,0.0332741,1300,0.9825780987739563,3.0524089127779006,1.0747451782226562,0.0003,-0.9374360918998719,0.2564453125,0.2
-160.558,997,271,132,270336,400.0,0.01662789918773342,0.028903335,1310,0.9515944719314575,3.660475079715252,0.6604955196380615,0.0003,-0.7769399613142014,0.282568359375,0.2
-160.726,1004,271,133,272384,400.0,-0.005211184750078246,0.021875141,1320,0.9894818663597107,1.485213863104582,0.33156704902648926,0.0003,-0.9243769101798535,0.2783203125,0.2
-160.62099999999998,1011,271,134,274432,400.0,-0.026287183968815953,0.038939774,1330,0.9880761504173279,1.8975066855549811,0.5597575902938843,0.0003,-0.9326567493379117,0.234912109375,0.2
-162.202,1018,271,135,276480,400.0,-0.01840510723995976,0.013270999,1340,0.9909259080886841,1.642341984808445,0.46233558654785156,0.0003,-0.9313309028744697,0.157373046875,0.2
-161.97099999999998,1026,271,136,278528,400.0,-0.03768784514104482,0.08075382,1350,0.958429217338562,2.7802241928875446,0.5497360229492188,0.0003,-0.8977954924106598,0.260400390625,0.2
-162.505,1035,270,137,280576,400.0,-0.019395917723886668,0.019573875,1360,0.9920695424079895,1.9182143904268742,0.40666767954826355,0.0003,-0.976741623878479,0.169775390625,0.2
-163.633,1044,270,138,282624,400.0,-0.027964516915380953,0.03884846,1370,0.989383339881897,1.9346844188869,0.5957469344139099,0.0003,-0.9321170903742313,0.3279296875,0.2
-162.84699999999998,1051,270,139,284672,400.0,-0.001840498170349747,0.013403392,1380,0.945362389087677,4.904401935636997,1.0603874921798706,0.0003,-0.8979520566761494,0.146435546875,0.2
-162.26500000000001,1058,270,140,286720,400.0,0.005281751303118654,0.04814394,1390,0.9745091199874878,2.2094605557620524,0.35655537247657776,0.0003,-0.9730875551700592,0.348388671875,0.2
