rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/iterations,time/fps,train/clip_fraction,train/policy_gradient_loss,train/explained_variance,train/n_updates,train/entropy_loss,train/clip_range,train/approx_kl,train/loss,train/value_loss,train/learning_rate
95.24,240,-31.211999999999993,139264,68,579,0.23095703125,-0.009750031301518903,0.10149598121643066,670,-0.9266863495111466,0.2,0.028066816,6.532387733459473,27.969089448451996,0.0003
93.07,243,-30.317499999999995,141312,69,579,0.2453125,-0.015775825557648206,0.04664808511734009,680,-0.9690749004483223,0.2,0.03192505,3.3885555267333984,22.619287073612213,0.0003
88.57,247,-27.0055,143360,70,578,0.258740234375,-0.013351186393992975,-0.0726553201675415,690,-0.9694751150906086,0.2,0.02637738,5.134490489959717,25.086028039455414,0.0003
93.36,251,-31.250000000000004,145408,71,578,0.25849609375,-0.012496030269539915,0.2159022092819214,700,-0.8901965618133545,0.2,0.024503242,7.651602745056152,29.438550078868865,0.0003
87.05,254,-24.5205,147456,72,578,0.17529296875,-0.01306717096013017,0.04284316301345825,710,-0.9523273088037968,0.2,0.021408938,8.716402053833008,29.729503333568573,0.0003
85.13,258,-22.714499999999994,149504,73,578,0.198681640625,-0.010185748228104785,0.2949850559234619,720,-0.9580902434885502,0.2,0.01997096,3.851229190826416,19.476104325056077,0.0003
87.22,262,-23.818,151552,74,577,0.230322265625,-0.011755406635347753,0.08020436763763428,730,-0.913798738270998,0.2,0.039587006,5.271226406097412,25.177086293697357,0.0003
87.14,265,-24.557999999999996,153600,75,577,0.19931640625,-0.010456168645760044,0.07036453485488892,740,-0.836828863620758,0.2,0.029552199,5.051013946533203,21.07276084423065,0.0003
88.31,269,-26.8635,155648,76,577,0.249560546875,-0.0192830709827831,0.22144949436187744,750,-0.8385729402303695,0.2,0.0282795,5.519548416137695,25.36238760948181,0.0003
90.81,273,-31.020500000000002,157696,77,577,0.202734375,-0.012662233354058116,0.38313841819763184,760,-0.8514001943171025,0.2,0.02220393,5.669394493103027,23.058599042892457,0.0003
83.76,276,-24.017000000000003,159744,78,576,0.237548828125,-0.01742192318488378,0.44124776124954224,770,-0.8883646950125694,0.2,0.048569743,4.34433650970459,25.647829461097718,0.0003
84.37,280,-24.473499999999994,161792,79,576,0.177001953125,-0.011686065967660397,0.2482629418373108,780,-0.7669156298041344,0.2,0.016478574,8.863300323486328,28.592166244983673,0.0003
